input_file,ACO_approach,num_ants,iterations,local_heuristic_function,alpha,beta,pheromone_evaporation,local_search,best_distance,elapsed time
burma14,Standard ACO,50,200,1_over_distance,3.5,3.5,0.3,None,3916.0,3.406
burma14,Standard ACO,50,200,1_over_distance,3.5,4.0,0.3,None,3534.0,3.345
burma14,Standard ACO,50,200,1_over_distance,4.0,1.0,0.3,None,3939.0,3.28
burma14,Standard ACO,50,200,1_over_distance,4.0,1.5,0.3,None,3964.0,3.341
burma14,Standard ACO,50,200,1_over_distance,4.0,2.0,0.3,None,3855.0,3.42
burma14,Standard ACO,50,200,1_over_distance,4.0,2.5,0.3,None,3762.0,3.431
burma14,Standard ACO,50,200,1_over_distance,4.0,3.0,0.3,None,3775.0,3.356
burma14,Standard ACO,50,200,1_over_distance,4.0,3.5,0.3,None,3818.0,3.4
burma14,Standard ACO,50,200,1_over_distance,4.0,4.0,0.3,None,3595.0,3.421
burma14,Standard ACO,50,200,1_over_distance,1.0,1.0,0.4,None,3381.0,3.343
burma14,Standard ACO,50,200,1_over_distance,1.0,1.5,0.4,None,3404.0,3.329
burma14,Standard ACO,50,200,1_over_distance,1.0,2.0,0.4,None,3416.0,3.302
burma14,Standard ACO,50,200,1_over_distance,1.0,2.5,0.4,None,3404.0,3.275
burma14,Standard ACO,50,200,1_over_distance,1.0,3.0,0.4,None,3416.0,3.281
burma14,Standard ACO,50,200,1_over_distance,1.0,3.5,0.4,None,3416.0,3.361
burma14,Standard ACO,50,200,1_over_distance,1.0,4.0,0.4,None,3416.0,3.36
burma14,Standard ACO,50,200,1_over_distance,1.5,1.0,0.4,None,3444.0,3.293
burma14,Standard ACO,50,200,1_over_distance,1.5,1.5,0.4,None,3436.0,3.296
burma14,Standard ACO,50,200,1_over_distance,1.5,2.0,0.4,None,3416.0,3.399
burma14,Standard ACO,50,200,1_over_distance,1.5,2.5,0.4,None,3416.0,3.402
burma14,Standard ACO,50,200,1_over_distance,1.5,3.0,0.4,None,3479.0,3.389
burma14,Standard ACO,50,200,1_over_distance,1.5,3.5,0.4,None,3531.0,3.371
burma14,Standard ACO,50,200,1_over_distance,1.5,4.0,0.4,None,3489.0,3.383
burma14,Standard ACO,50,200,1_over_distance,2.0,1.0,0.4,None,3536.0,3.351
burma14,Standard ACO,50,200,1_over_distance,2.0,1.5,0.4,None,3875.0,3.36
burma14,Standard ACO,50,200,1_over_distance,2.0,2.0,0.4,None,3630.0,3.373
burma14,Standard ACO,50,200,1_over_distance,2.0,2.5,0.4,None,3539.0,3.367
burma14,Standard ACO,50,200,1_over_distance,2.0,3.0,0.4,None,3725.0,3.387
burma14,Standard ACO,50,200,1_over_distance,2.0,3.5,0.4,None,3440.0,3.322
burma14,Standard ACO,50,200,1_over_distance,2.0,4.0,0.4,None,3460.0,3.375
burma14,Standard ACO,50,200,1_over_distance,2.5,1.0,0.4,None,3814.0,3.32
burma14,Standard ACO,50,200,1_over_distance,2.5,1.5,0.4,None,3632.0,3.381
burma14,Standard ACO,50,200,1_over_distance,2.5,2.0,0.4,None,3856.0,3.366
burma14,Standard ACO,50,200,1_over_distance,2.5,2.5,0.4,None,3416.0,3.335
burma14,Standard ACO,50,200,1_over_distance,2.5,3.0,0.4,None,3569.0,3.392
burma14,Standard ACO,50,200,1_over_distance,2.5,3.5,0.4,None,3416.0,3.38
burma14,Standard ACO,50,200,1_over_distance,2.5,4.0,0.4,None,3808.0,3.351
burma14,Standard ACO,50,200,1_over_distance,3.0,1.0,0.4,None,3751.0,3.344
burma14,Standard ACO,50,200,1_over_distance,3.0,1.5,0.4,None,3662.0,3.354
burma14,Standard ACO,50,200,1_over_distance,3.0,2.0,0.4,None,3773.0,3.362
burma14,Standard ACO,50,200,1_over_distance,3.0,2.5,0.4,None,3526.0,3.333
burma14,Standard ACO,50,200,1_over_distance,3.0,3.0,0.4,None,3639.0,3.366
burma14,Standard ACO,50,200,1_over_distance,3.0,3.5,0.4,None,3658.0,3.347
burma14,Standard ACO,50,200,1_over_distance,3.0,4.0,0.4,None,3807.0,3.352
burma14,Standard ACO,50,200,1_over_distance,3.5,1.0,0.4,None,3570.0,3.336
burma14,Standard ACO,50,200,1_over_distance,3.5,1.5,0.4,None,3785.0,3.374
burma14,Standard ACO,50,200,1_over_distance,3.5,2.0,0.4,None,4128.0,3.343
burma14,Standard ACO,50,200,1_over_distance,3.5,2.5,0.4,None,3814.0,3.362
burma14,Standard ACO,50,200,1_over_distance,3.5,3.0,0.4,None,3749.0,3.329
burma14,Standard ACO,50,200,1_over_distance,3.5,3.5,0.4,None,3792.0,3.354
burma14,Standard ACO,50,200,1_over_distance,3.5,4.0,0.4,None,3634.0,3.36
burma14,Standard ACO,50,200,1_over_distance,4.0,1.0,0.4,None,4226.0,3.335
